n,t,j,p
25,3,11,0.6433016524587662
25,3,17,0.16802840256161783
25,4,2,0.5237381278917527
25,4,3,0.0698551687709051
25,4,5,0.0303831603819447
25,4,10,0.07964482533078517
25,4,12,0.03226576404841055
25,4,13,0.15951788460108882
25,4,14,0.10459506897511282
25,5,1,0.013161379753679906
25,5,2,0.1632383122792796
25,5,3,0.03187030073600671
25,5,4,0.013160574345301027
25,5,5,0.013861829778961334
25,5,6,0.004568940271385549
25,5,7,0.005097651911603115
25,5,8,0.0018881820460872726
25,5,11,0.5448397536017546
25,5,17,0.20831307527594092
26,1,3,0.00441693872602898
26,1,5,0.0014122873395303194
26,1,12,0.006745406286062935
26,1,14,0.021529904273173063
26,1,18,0.9658954633752047
27,1,1,0.0384076747598223
27,1,2,0.08058799206281732
27,1,3,0.3661198485732505
27,1,4,0.027823443854203038
27,1,5,0.022723210211679633
27,1,6,0.014380143201059343
27,1,7,0.00835866124895543
27,1,8,0.02434569821025229
27,1,11,0.41725332787796016
27,2,1,0.008037968292192338
27,2,2,0.0168654762097181
27,2,3,0.4461750192805421
27,2,4,0.005822897659861159
27,2,5,0.0047555194195033085
27,2,6,0.0030094801575495066
27,2,7,0.0017493028282608643
27,2,8,0.0050950741352871485
27,2,11,0.5084892620170856
28,1,1,0.022160915401849224
28,1,2,0.08616078581004998
28,1,3,0.023992750913937547
28,1,4,0.07673437390195761
28,1,5,0.171163828363149
28,1,6,0.054928756056375115
28,1,7,0.5495861301284817
28,1,8,0.015272459424199903
29,1,2,0.15153035950914018
29,1,3,0.010646682679278721
29,1,5,0.029726218271649275
29,1,7,0.012433402942727467
29,1,8,0.006096252593843767
29,1,9,0.16049230182786733
29,1,10,0.5950044842492854
29,1,11,0.034070297926207964
30,1,2,0.014627427849768598
30,1,3,0.003918956553204406
30,1,5,0.007348428163611996
30,1,6,0.8878058674747735
30,1,7,0.05308244192057877
30,1,8,0.014577662154998847
30,1,9,0.00851350745432883
30,1,10,0.006151662021833897
30,1,11,0.003974046406901136
30,2,2,0.14739229666221226
30,2,3,0.03948910313068901
30,2,5,0.07404594403172458
30,2,6,0.5256334140659259
30,2,7,0.04479025973341622
30,2,8,0.012300437783275036
30,2,9,0.08578578744206497
30,2,10,0.03051854480035476
30,2,11,0.04004421235033727
30,3,2,0.10954621945276279
30,3,3,0.04182804935497118
30,3,5,0.07843169775834737
30,3,6,0.5567667696429633
30,3,7,0.04744319435544048
30,3,8,0.013028994783290823
30,3,9,0.09086689406964893
30,3,10,0.032326163345023654
30,3,11,0.02976201723755157
31,1,2,0.0363497431805014
31,1,3,0.6938561377176574
31,1,5,0.04194308280646328
31,1,7,0.1372659724127488
31,1,8,0.012324267203695179
31,1,9,0.023305427230597434
31,1,10,0.010967850025531528
31,1,11,0.04398751942280504
31,2,2,0.0363497431805014
31,2,3,0.6938561377176574
31,2,5,0.04194308280646328
31,2,7,0.1372659724127488
31,2,8,0.012324267203695179
31,2,9,0.023305427230597434
31,2,10,0.010967850025531528
31,2,11,0.04398751942280504
31,3,1,0.004494148132603898
31,3,2,0.019185970065553174
31,3,3,0.5293870317109788
31,3,4,0.015093208022025134
31,3,5,0.03200104877757332
31,3,6,0.010122053339036723
31,3,7,0.38031357170230046
31,3,8,0.009402968249928518
32,1,1,0.05672100458407575
32,1,2,0.0384859332225643
32,1,3,0.038439696061037004
32,1,4,0.004925187628742018
32,1,5,0.004860222065535843
32,1,6,0.016081414653207192
32,1,7,0.0021186813599455173
32,1,8,0.0036540542020171082
32,1,15,0.8347138062228753
33,1,2,0.8674475287253315
33,1,3,0.002067098948624764
33,1,5,0.008499035019250537
33,1,7,0.005874868003631588
33,1,8,0.0015875998201944329
33,1,9,0.013291509637160784
33,1,10,0.01661536147410153
33,1,11,0.003944680560421261
33,1,17,0.08067231781128341
33,2,1,0.019866947451587652
33,2,2,0.14389770922191925
33,2,3,0.007400171727737397
33,2,4,0.04781944903004053
33,2,5,0.030426370592637187
33,2,6,0.01763462042766256
33,2,7,0.032618204762061564
33,2,8,0.005683574708496694
33,2,17,0.6946529520778572
34,1,1,0.00969459111073971
34,1,2,0.15002361271130524
34,1,3,0.0056730331282229506
34,1,4,0.3711007260400464
34,1,5,0.11930518792831525
34,1,6,0.07060878292508155
34,1,7,0.22642590232585483
34,1,8,0.047168163830433964
34,2,3,0.02691331502149495
34,2,5,0.9365926929764118
34,2,12,0.01112979242203486
34,2,14,0.025364199580058464
35,1,1,0.10709452597469543
35,1,2,0.06965987827235644
35,1,3,0.010147282149249067
35,1,4,0.003039945219709133
35,1,5,0.007527130066309918
35,1,6,0.0069844881429466776
35,1,7,0.0017005427849687638
35,1,8,0.002128430772402388
35,1,13,0.7917177766173622
35,2,2,0.0019586091960237012
35,2,3,0.0005714236341547684
35,2,5,0.0005998733597862985
35,2,10,0.03534176565314724
35,2,12,0.03556387872005336
35,2,13,0.3581863345155334
35,2,14,0.48550610800130256
35,2,16,0.08227200691999857
35,3,2,0.004531490106446319
35,3,3,0.0013220608531905405
35,3,5,0.001387882891855589
35,3,10,0.08176764498334513
35,3,12,0.08228153165723642
35,3,13,0.8287093895079259
35,4,1,0.06853372171480943
35,4,2,0.005548679006185963
35,4,3,0.0045884403251068365
35,4,4,0.001945372630577194
35,4,5,0.004816887068509442
35,4,6,0.004469630565638768
35,4,7,0.0010882398043081463
35,4,8,0.001362061047634951
35,4,9,0.4009976756765591
35,4,13,0.5066492921606702
35,5,1,0.22788102917627723
35,5,2,0.004599458320246114
35,5,3,0.0038034890839310008
35,5,4,0.0016125748708317813
35,5,5,0.003992855106637456
35,5,6,0.003705004284918006
35,5,7,0.0009020730189596328
35,5,8,0.001129051259091298
35,5,9,0.33239841297968364
35,5,13,0.4199760518994237
35,6,1,0.06507077519079184
35,6,2,0.0052683093108508725
35,6,3,0.004356590615549078
35,6,4,0.0018470747237889146
35,6,5,0.004573494153122571
35,6,6,0.03409443090825019
35,6,7,0.00830111488516037
35,6,8,0.014703816793535236
35,6,9,0.38073562843357095
35,6,13,0.48104876498537996
35,7,1,0.07120588007566668
35,7,2,0.011546344941719383
35,7,3,0.0047673455249302304
35,7,4,0.00202122351988701
35,7,5,0.005004699502029178
35,7,6,0.0528001329420039
35,7,7,0.009083773618401672
35,7,8,0.022770976396196865
35,7,9,0.29439586434669757
35,7,13,0.5264037591324675
35,8,1,0.09233657350664352
35,8,2,0.021189666225917166
35,8,3,0.004368303788256688
35,8,4,0.0026210314923301122
35,8,5,0.006489868574852422
35,8,6,0.006022004364348746
35,8,7,0.0010360300500541666
35,8,8,0.0018351265172616967
35,8,9,0.3817592780176895
35,8,13,0.48234211746264594
36,1,2,0.06490063789294036
36,1,3,0.0023599058650662728
36,1,4,0.4768985218727401
36,1,5,0.009914963148573633
36,1,7,0.005375741474822869
36,1,8,0.004368625629231755
36,1,9,0.010326428611327909
36,1,10,0.01415506976107651
36,1,11,0.007132810672957557
36,1,19,0.404567295071263
36,2,1,0.03643407102268691
36,2,2,0.043890996575834694
36,2,3,0.01788125201705569
36,2,4,0.3225168822695642
36,2,5,0.013373328559899839
36,2,6,0.004089668410873906
36,2,7,0.010239948016893324
36,2,8,0.005892413821358497
36,2,19,0.5456814393058329
36,3,1,0.0026349321165063232
36,3,2,0.012626443501354875
36,3,3,0.0012931820106994126
36,3,4,0.09278078671952167
36,3,5,0.003847203086283981
36,3,6,0.001176504776781618
36,3,7,0.0020858947111647703
36,3,8,0.0016951137136619174
36,3,19,0.8818599393640254
36,4,1,0.008900973731269728
36,4,2,0.042652955353527956
36,4,3,0.003093262495980182
36,4,4,0.3134195906541943
36,4,5,0.012996104679644549
36,4,6,0.003974310399590671
36,4,7,0.07894729228472644
36,4,8,0.005726205446546878
36,4,19,0.5302893049545193
36,5,1,0.010743229422691248
36,5,2,0.10267587030038546
36,5,3,0.0037334823876826735
36,5,4,0.378288788353009
36,5,5,0.01568593935787471
36,5,6,0.004796882870218242
36,5,7,0.023954698149736286
36,5,8,0.006911371799424661
36,5,19,0.4532097373589776
37,1,1,0.6880251599042843
37,1,2,0.04922786518475335
37,1,3,0.059199226732628056
37,1,4,0.03295507552651255
37,1,5,0.06206190489220773
37,1,6,0.02208699944110206
37,1,7,0.08193451232445445
37,1,8,0.004509255994057445
37,2,1,0.7022661090395044
37,2,2,0.05024679816131641
37,2,3,0.03972625286588703
37,2,4,0.03363718946895281
37,2,5,0.06334648063494329
37,2,6,0.022544162716401656
37,2,7,0.08363041719891275
37,2,8,0.004602589914081521
37,3,1,0.37882106752878175
37,3,2,0.027104462929881137
37,3,3,0.0214294002314258
37,3,4,0.018144797049546642
37,3,5,0.034170781003715824
37,3,6,0.15058490967815033
37,3,7,0.3672618218351381
37,3,8,0.002482759743360313
38,1,1,0.02526692911254207
38,1,2,0.04601054559710829
38,1,3,0.8277317193813751
38,1,4,0.007705419727471009
38,1,5,0.04539530167120222
38,1,6,0.015839399902981895
38,1,7,0.010979552136483
38,1,8,0.02107113247083648
38,2,1,0.0059913059614581056
38,2,2,0.023953419798185285
38,2,3,0.9461082874577582
38,2,4,0.0018271127030557177
38,2,5,0.010764155007260386
38,2,6,0.003755845858511879
38,2,7,0.0026034764999121993
38,2,8,0.00499639671385831
39,1,2,0.044179284526909494
39,1,3,0.001270826748599619
39,1,5,0.04246522918692945
39,1,7,0.8791175307139442
39,1,8,0.024827637236889556
39,1,9,0.0028165389955983875
39,1,10,0.003442725646139
39,1,11,0.0018802269449904872
40,1,1,0.0011069146770456891
40,1,2,0.005633810693043099
40,1,3,0.003000879686611859
40,1,4,0.004659003680547858
40,1,5,0.013618337859159927
40,1,6,0.028516495599714243
40,1,7,0.3229448032133213
40,1,8,0.027630825975612217
40,1,17,0.5928889286149438
40,2,1,0.0011069146770456891
40,2,2,0.005633810693043099
40,2,3,0.003000879686611859
40,2,4,0.004659003680547858
40,2,5,0.013618337859159927
40,2,6,0.028516495599714243
40,2,7,0.3229448032133213
40,2,8,0.027630825975612217
40,2,17,0.5928889286149438
41,1,1,0.8523054026252289
41,1,2,0.05180278925601156
41,1,3,0.00956007048705143
41,1,4,0.02172856028418221
41,1,5,0.040127786326451365
41,1,6,0.009862436440609329
41,1,7,0.012179491104521227
41,1,8,0.0024334634759440713
42,1,1,0.008956939117678182
42,1,2,0.008036305689465574
42,1,3,0.011306424590687562
42,1,4,0.0033571247563991984
42,1,5,0.00523147407467335
42,1,6,0.007008420635310844
42,1,7,0.013259061942845003
42,1,8,0.002594125413719313
42,1,19,0.9402501237792209
43,1,2,0.8844889525704972
43,1,3,0.005304195568233196
43,1,5,0.015284540840178967
43,1,7,0.005824869123513672
43,1,8,0.003488642696350097
43,1,9,0.048134499289891865
